"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 12 10:12:48 IST 2024","Fri Jul 12 10:12:51 IST 2024","3516","","UIBasicstest.spec.js","","","","@Web Page Playwright test",""
"passed","Fri Jul 12 10:12:48 IST 2024","Fri Jul 12 10:12:51 IST 2024","3832","","UIBasicstest.spec.js","","","","@Web UI Controls",""
